Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2013-11-26,5183.05,5665.0,5121.0,5630.0,46270.976,245658387.507,5309.12482821
2013-11-25,5183.87,5346.0,5011.14,5183.0,38809.125,202988951.555,5230.4439112
2013-11-24,5635.0,5650.09,4816.0,5183.87,67925.527,358375154.133,5276.00108473
2013-11-23,5117.78,5968.0,5112.01,5644.65,48049.897,264312621.401,5500.79475511
2013-11-22,5111.6,5146.86,4720.2,5110.1,59292.62,295028636.457,4975.80704744
2013-11-21,4253.02,5199.0,4107.0,5111.6,76208.041,353470723.392,4638.23395476
2013-11-20,5107.0,5355.0,3450.0,4251.0,96188.13,407257390.982,4233.96723673
2013-11-19,5887.0,6989.0,4000.0,5110.0,90503.96,503639842.828,5564.83763615
2013-11-18,3225.85,5888.0,3225.01,5888.0,102432.683,410185875.104,4004.4433387
2013-11-17,2779.36,3268.8,2778.88,3226.01,72116.571,213836992.239,2965.15751198
2013-11-16,2705.13,2794.88,2700.0,2779.99,39458.021,108775112.719,2756.73006304
2013-11-15,2657.55,2759.0,2621.74,2705.13,50945.738,137600625.417,2700.92515721
2013-11-14,2583.0,2698.0,2557.0,2657.55,61845.95,163343383.98,2641.13307306
2013-11-13,2419.9,2598.5,2367.0,2585.0,56004.59,138200461.984,2467.66313233
2013-11-12,2235.3,2444.0,2235.0,2418.0,54601.137,129197207.889,2366.19995458
2013-11-11,2100.0,2277.5,2040.01,2235.3,45940.696,99821543.0843,2172.83480173
2013-11-10,2371.0,2420.0,1902.01,2100.0,84411.181,177422560.096,2101.88458441
2013-11-09,2175.99,2630.0,2045.0,2388.0,81343.69,196016021.251,2409.72620312
2013-11-08,1857.0,2184.9,1851.0,2175.99,60339.571,120469524.401,1996.52603432
2013-11-07,1636.46,1899.03,1636.11,1857.0,61810.648,110975677.31,1795.41358812
2013-11-06,1523.93,1648.0,1519.5,1636.02,46311.817,73785021.051,1593.22233137
2013-11-05,1431.96,1534.0,1378.01,1523.95,52711.229,77792945.8128,1475.83251783
2013-11-04,1327.42,1449.9,1311.0,1431.99,36255.888,49493050.5315,1365.10380139
2013-11-03,1277.06,1328.0,1272.74,1326.88,13322.659,17227251.3051,1293.07905465
2013-11-02,1270.16,1288.0,1270.0,1277.06,8811.523,11250766.7263,1276.82430453
